HB2014Name,GPPracticeName,BNFItemDescription,BNFItemCode,PaidDateMonth,NumberOfPaidItems
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,0
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,8
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,3
NHS Lothian,LADYWELL MEDICAL CENTRE (WEST),XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,13
NHS Lothian,LADYWELL MEDICAL CENTRE (WEST),XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,12
NHS Lothian,LADYWELL MEDICAL CENTRE (WEST),XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,12
NHS Lothian,LADYWELL MEDICAL CENTRE (WEST),XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,13
NHS Lothian,LADYWELL MEDICAL CENTRE (WEST),XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,12
NHS Western Isles,NORTH UIST MEDICAL PRACTICE,365 FILM 4CM X 5CM VP ADH FILM DRESS,20030100662,2019-04-01,6
NHS Western Isles,NORTH UIST MEDICAL PRACTICE,365 FILM 4CM X 5CM VP ADH FILM DRESS,20030100662,2019-05-01,6
NHS Western Isles,NORTH UIST MEDICAL PRACTICE,365 FILM 4CM X 5CM VP ADH FILM DRESS,20030100662,2019-06-01,4
NHS Western Isles,NORTH UIST MEDICAL PRACTICE,365 FILM 4CM X 5CM VP ADH FILM DRESS,20030100662,2019-07-01,2
NHS Western Isles,NORTH UIST MEDICAL PRACTICE,365 FILM 4CM X 5CM VP ADH FILM DRESS,20030100662,2019-08-01,5
NHS Borders,NEWCASTLETON MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,4
NHS Borders,NEWCASTLETON MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,2
NHS Borders,NEWCASTLETON MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,0
NHS Borders,NEWCASTLETON MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,9
NHS Borders,NEWCASTLETON MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,1
NHS Shetland,WHALSAY HEALTH CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,5
NHS Shetland,WHALSAY HEALTH CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,9
NHS Shetland,WHALSAY HEALTH CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,5
NHS Shetland,WHALSAY HEALTH CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,8
NHS Shetland,WHALSAY HEALTH CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,4
NHS Dumfries and Galloway,SOLWAY MEDICAL GROUP,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,9
NHS Dumfries and Galloway,SOLWAY MEDICAL GROUP,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,0
NHS Dumfries and Galloway,SOLWAY MEDICAL GROUP,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,6
NHS Dumfries and Galloway,SOLWAY MEDICAL GROUP,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,1
NHS Dumfries and Galloway,SOLWAY MEDICAL GROUP,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,1
NHS Highland,DUNBEATH SURGERY,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,13
NHS Highland,DUNBEATH SURGERY,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,12
NHS Highland,DUNBEATH SURGERY,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,13
NHS Highland,DUNBEATH SURGERY,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,13
NHS Highland,DUNBEATH SURGERY,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,13
NHS Borders,KELSO MEDICAL GROUP,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Borders,KELSO MEDICAL GROUP,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Borders,KELSO MEDICAL GROUP,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Borders,KELSO MEDICAL GROUP,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,16
NHS Borders,KELSO MEDICAL GROUP,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,17
NHS Shetland,LERWICK HEALTH CENTRE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,30
NHS Shetland,LERWICK HEALTH CENTRE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,32
NHS Shetland,LERWICK HEALTH CENTRE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,33
NHS Shetland,LERWICK HEALTH CENTRE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,28
NHS Shetland,LERWICK HEALTH CENTRE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,32
NHS Orkney,ISLANDS VIEW SURGERY,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-04-01,9
NHS Orkney,ISLANDS VIEW SURGERY,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-05-01,3
NHS Orkney,ISLANDS VIEW SURGERY,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-06-01,7
NHS Orkney,ISLANDS VIEW SURGERY,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-07-01,0
NHS Orkney,ISLANDS VIEW SURGERY,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-08-01,0
NHS Highland,RIVERBANK SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,28
NHS Highland,RIVERBANK SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,31
NHS Highland,RIVERBANK SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,33
NHS Highland,RIVERBANK SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,32
NHS Highland,RIVERBANK SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,31
NHS Grampian,WHINHILL MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,2
NHS Grampian,WHINHILL MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,8
NHS Grampian,WHINHILL MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,1
NHS Grampian,WHINHILL MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,3
NHS Grampian,WHINHILL MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,8
NHS Ayrshire and Arran,SOUTH BEACH MEDICAL CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,3
NHS Ayrshire and Arran,SOUTH BEACH MEDICAL CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,5
NHS Ayrshire and Arran,SOUTH BEACH MEDICAL CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,1
NHS Ayrshire and Arran,SOUTH BEACH MEDICAL CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,2
NHS Ayrshire and Arran,SOUTH BEACH MEDICAL CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,6
NHS Lothian,SOUTHFIELD MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,31
NHS Lothian,SOUTHFIELD MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,30
NHS Lothian,SOUTHFIELD MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,33
NHS Lothian,SOUTHFIELD MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,33
NHS Lothian,SOUTHFIELD MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,31
NHS Grampian,WHINHILL MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,33
NHS Grampian,WHINHILL MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,32
NHS Grampian,WHINHILL MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,31
NHS Grampian,WHINHILL MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,29
NHS Grampian,WHINHILL MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,29
NHS Lothian,BRAIDS MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,1
NHS Lothian,BRAIDS MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,5
NHS Lothian,BRAIDS MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,9
NHS Lothian,BRAIDS MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,8
NHS Lothian,BRAIDS MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,9
NHS Shetland,BIXTER HEALTH CENTRE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,13
NHS Shetland,BIXTER HEALTH CENTRE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,13
NHS Shetland,BIXTER HEALTH CENTRE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,12
NHS Shetland,BIXTER HEALTH CENTRE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,12
NHS Shetland,BIXTER HEALTH CENTRE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,12
NHS Western Isles,THE GROUP PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,7
NHS Western Isles,THE GROUP PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,8
NHS Western Isles,THE GROUP PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,8
NHS Western Isles,THE GROUP PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,5
NHS Western Isles,THE GROUP PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,5
NHS Shetland,LEVENWICK MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,31
NHS Shetland,LEVENWICK MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,30
NHS Shetland,LEVENWICK MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,28
NHS Shetland,LEVENWICK MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,28
NHS Shetland,LEVENWICK MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,32
NHS Ayrshire and Arran,DALBLAIR MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Ayrshire and Arran,DALBLAIR MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Ayrshire and Arran,DALBLAIR MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Ayrshire and Arran,DALBLAIR MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Ayrshire and Arran,DALBLAIR MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,17
NHS Forth Valley,FORTHVIEW PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,12
NHS Forth Valley,FORTHVIEW PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,12
NHS Forth Valley,FORTHVIEW PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,13
NHS Forth Valley,FORTHVIEW PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,12
NHS Forth Valley,FORTHVIEW PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,13
NHS Lothian,BRAIDS MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Lothian,BRAIDS MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Lothian,BRAIDS MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,16
NHS Lothian,BRAIDS MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Lothian,BRAIDS MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,17
NHS Dumfries and Galloway,CASTLE DOUGLAS MEDICAL GROUP,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Dumfries and Galloway,CASTLE DOUGLAS MEDICAL GROUP,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Dumfries and Galloway,CASTLE DOUGLAS MEDICAL GROUP,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Dumfries and Galloway,CASTLE DOUGLAS MEDICAL GROUP,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Dumfries and Galloway,CASTLE DOUGLAS MEDICAL GROUP,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,16
NHS Greater Glasgow and Clyde,RED WING MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,13
NHS Greater Glasgow and Clyde,RED WING MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,13
NHS Greater Glasgow and Clyde,RED WING MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,12
NHS Greater Glasgow and Clyde,RED WING MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,13
NHS Greater Glasgow and Clyde,RED WING MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,13
NHS Ayrshire and Arran,THE FULLARTON MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,16
NHS Ayrshire and Arran,THE FULLARTON MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Ayrshire and Arran,THE FULLARTON MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Ayrshire and Arran,THE FULLARTON MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Ayrshire and Arran,THE FULLARTON MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,17
NHS Dumfries and Galloway,LOCH REE PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,13
NHS Dumfries and Galloway,LOCH REE PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,12
NHS Dumfries and Galloway,LOCH REE PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,12
NHS Dumfries and Galloway,LOCH REE PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,12
NHS Dumfries and Galloway,LOCH REE PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,13
NHS Ayrshire and Arran,BALLANTRAE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,13
NHS Ayrshire and Arran,BALLANTRAE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,13
NHS Ayrshire and Arran,BALLANTRAE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,12
NHS Ayrshire and Arran,BALLANTRAE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,13
NHS Ayrshire and Arran,BALLANTRAE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,12
NHS Orkney,DOUNBY SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Orkney,DOUNBY SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Orkney,DOUNBY SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Orkney,DOUNBY SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Orkney,DOUNBY SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,16
NHS Dumfries and Galloway,SOLWAY MEDICAL GROUP,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,13
NHS Dumfries and Galloway,SOLWAY MEDICAL GROUP,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,13
NHS Dumfries and Galloway,SOLWAY MEDICAL GROUP,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,13
NHS Dumfries and Galloway,SOLWAY MEDICAL GROUP,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,13
NHS Dumfries and Galloway,SOLWAY MEDICAL GROUP,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,13
NHS Forth Valley,CALLANDER MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,33
NHS Forth Valley,CALLANDER MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,31
NHS Forth Valley,CALLANDER MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,32
NHS Forth Valley,CALLANDER MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,30
NHS Forth Valley,CALLANDER MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,29
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",365 FILM 4CM X 5CM VP ADH FILM DRESS,20030100662,2019-04-01,7
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",365 FILM 4CM X 5CM VP ADH FILM DRESS,20030100662,2019-05-01,5
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",365 FILM 4CM X 5CM VP ADH FILM DRESS,20030100662,2019-06-01,0
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",365 FILM 4CM X 5CM VP ADH FILM DRESS,20030100662,2019-07-01,3
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",365 FILM 4CM X 5CM VP ADH FILM DRESS,20030100662,2019-08-01,7
NHS Lothian,LADYWELL MEDICAL CENTRE (WEST),FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,29
NHS Lothian,LADYWELL MEDICAL CENTRE (WEST),FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,28
NHS Lothian,LADYWELL MEDICAL CENTRE (WEST),FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,28
NHS Lothian,LADYWELL MEDICAL CENTRE (WEST),FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,29
NHS Lothian,LADYWELL MEDICAL CENTRE (WEST),FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,33
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,28
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,33
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,33
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,31
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,33
NHS Dumfries and Galloway,GLENKENS MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,13
NHS Dumfries and Galloway,GLENKENS MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,13
NHS Dumfries and Galloway,GLENKENS MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,13
NHS Dumfries and Galloway,GLENKENS MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,13
NHS Dumfries and Galloway,GLENKENS MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,12
NHS Lanarkshire,STEPPS SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,28
NHS Lanarkshire,STEPPS SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,31
NHS Lanarkshire,STEPPS SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,32
NHS Lanarkshire,STEPPS SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,31
NHS Lanarkshire,STEPPS SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,31
NHS Highland,DUNBEATH SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,29
NHS Highland,DUNBEATH SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,31
NHS Highland,DUNBEATH SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,31
NHS Highland,DUNBEATH SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,31
NHS Highland,DUNBEATH SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,31
NHS Dumfries and Galloway,LOCH REE PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Dumfries and Galloway,LOCH REE PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,16
NHS Dumfries and Galloway,LOCH REE PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,16
NHS Dumfries and Galloway,LOCH REE PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,16
NHS Dumfries and Galloway,LOCH REE PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,16
NHS Tayside,ALYTH HEALTH CENTRE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,13
NHS Tayside,ALYTH HEALTH CENTRE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,12
NHS Tayside,ALYTH HEALTH CENTRE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,12
NHS Tayside,ALYTH HEALTH CENTRE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,12
NHS Tayside,ALYTH HEALTH CENTRE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,12
NHS Highland,DUNBEATH SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Highland,DUNBEATH SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Highland,DUNBEATH SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,16
NHS Highland,DUNBEATH SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Highland,DUNBEATH SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,17
NHS Greater Glasgow and Clyde,BUCKINGHAM TERRACE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,12
NHS Greater Glasgow and Clyde,BUCKINGHAM TERRACE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,13
NHS Greater Glasgow and Clyde,BUCKINGHAM TERRACE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,12
NHS Greater Glasgow and Clyde,BUCKINGHAM TERRACE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,13
NHS Greater Glasgow and Clyde,BUCKINGHAM TERRACE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,12
NHS Highland,THE PEARSON PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,31
NHS Highland,THE PEARSON PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,32
NHS Highland,THE PEARSON PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,28
NHS Highland,THE PEARSON PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,31
NHS Highland,THE PEARSON PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,29
NHS Lothian,NIDDRIE MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Lothian,NIDDRIE MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Lothian,NIDDRIE MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
