age,hb_name,hb_code,measure,sex,quarter_date,los,stays,avlos
70-79,NHS Grampian,S08000020,Elective Inpatients,A,2018-04-01,53.0,25.0,2.12
70-79,NHS Lanarkshire,S08000023,Emergency Inpatients,B,2018-10-01,398.0,149.0,2.67
50-59,NHS Fife,S08000029,Emergency Inpatients,B,2018-07-01,91.0,48.0,1.9
60-69,NHS Fife,S08000029,Elective Inpatients,A,2018-04-01,20.0,15.0,1.33
90+,NHS Highland,S08000022,Elective Inpatients,B,2019-01-01,10.0,2.0,5.0
90+,NHS Fife,S08000029,Elective Inpatients,B,2018-04-01,10.0,2.0,5.0
60-69,NHS Forth Valley,S08000019,All Daycases,B,2018-04-01,32.0,30.0,1.07
20-29,NHS Shetland,S08000026,All Daycases,A,2019-01-01,2.0,2.0,1.0
60-69,NHS Lothian,S08000024,All Daycases,B,2018-10-01,141.0,136.0,1.04
30-39,NHS Shetland,S08000026,Elective Inpatients,A,2018-04-01,1.0,1.0,1.0
80-89,NHS Fife,S08000029,Elective Inpatients,B,2018-10-01,29.0,9.0,3.22
70-79,NHS Lothian,S08000024,Emergency Inpatients,A,2018-04-01,799.0,183.0,4.37
60-69,NHS Forth Valley,S08000019,Emergency Inpatients,B,2018-04-01,140.0,33.0,4.24
90+,NHS Lanarkshire,S08000023,Emergency Inpatients,A,2018-07-01,178.0,20.0,8.9
20-29,NHS Ayrshire & Arran,S08000015,Emergency Inpatients,A,2018-04-01,41.0,27.0,1.52
30-39,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,A,2019-01-01,38.0,35.0,1.09
70-79,NHS Lothian,S08000024,Elective Inpatients,B,2018-10-01,74.0,39.0,1.9
70-79,NHS Lanarkshire,S08000023,Emergency Inpatients,B,2018-07-01,406.0,128.0,3.17
90+,NHS Forth Valley,S08000019,Elective Inpatients,A,2018-07-01,11.0,2.0,5.5
90+,NHS Highland,S08000022,All Daycases,A,2018-04-01,6.0,6.0,1.0
30-39,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,A,2018-10-01,210.0,133.0,1.58
10-19,NHS Shetland,S08000026,Elective Inpatients,B,2018-04-01,1.0,1.0,1.0
10-19,NHS Orkney,S08000025,Emergency Inpatients,A,2018-10-01,1.0,1.0,1.0
0-9,NHS Highland,S08000022,Emergency Inpatients,B,2018-07-01,5.0,5.0,1.0
40-49,NHS Fife,S08000029,Elective Inpatients,B,2018-07-01,7.0,7.0,1.0
20-29,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,B,2018-10-01,24.0,23.0,1.04
20-29,NHS Tayside,S08000030,Emergency Inpatients,B,2018-10-01,31.0,18.0,1.72
0-9,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,B,2018-07-01,29.0,29.0,1.0
90+,NHS Highland,S08000022,Elective Inpatients,B,2018-07-01,9.0,2.0,4.5
50-59,NHS Forth Valley,S08000019,Elective Inpatients,A,2018-10-01,13.0,7.0,1.86
70-79,NHS Highland,S08000022,Emergency Inpatients,A,2018-10-01,218.0,55.0,3.96
70-79,NHS Highland,S08000022,All Daycases,A,2018-04-01,51.0,47.0,1.09
60-69,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,B,2019-01-01,823.0,319.0,2.58
20-29,NHS Lothian,S08000024,Emergency Inpatients,A,2019-01-01,78.0,50.0,1.56
90+,NHS Dumfries & Galloway,S08000017,Emergency Inpatients,A,2018-04-01,51.0,5.0,10.2
80-89,NHS Highland,S08000022,Emergency Inpatients,A,2019-01-01,233.0,31.0,7.52
70-79,NHS Dumfries & Galloway,S08000017,All Daycases,B,2018-10-01,29.0,27.0,1.07
80-89,NHS Grampian,S08000020,Emergency Inpatients,A,2019-01-01,448.0,66.0,6.79
0-9,NHS Ayrshire & Arran,S08000015,Elective Inpatients,A,2018-10-01,2.0,2.0,1.0
80-89,NHS Tayside,S08000030,Elective Inpatients,A,2018-04-01,56.0,11.0,5.09
50-59,NHS Orkney,S08000025,All Daycases,A,2018-10-01,4.0,4.0,1.0
90+,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,B,2019-01-01,478.0,44.0,10.86
20-29,NHS Dumfries & Galloway,S08000017,Emergency Inpatients,B,2018-10-01,13.0,9.0,1.44
10-19,NHS Orkney,S08000025,All Daycases,A,2018-04-01,1.0,1.0,1.0
50-59,NHS Orkney,S08000025,Elective Inpatients,B,2019-01-01,1.0,1.0,1.0
30-39,NHS Shetland,S08000026,Emergency Inpatients,B,2019-01-01,2.0,2.0,1.0
0-9,NHS Ayrshire & Arran,S08000015,Elective Inpatients,A,2018-07-01,2.0,2.0,1.0
10-19,NHS Orkney,S08000025,Elective Inpatients,B,2018-04-01,1.0,1.0,1.0
20-29,NHS Lanarkshire,S08000023,All Daycases,A,2018-04-01,31.0,31.0,1.0
90+,NHS Lothian,S08000024,Emergency Inpatients,A,2018-10-01,288.0,21.0,13.71
10-19,NHS Dumfries & Galloway,S08000017,Emergency Inpatients,A,2019-01-01,7.0,5.0,1.4
90+,NHS Borders,S08000016,All Daycases,A,2019-01-01,3.0,3.0,1.0
0-9,NHS Fife,S08000029,Elective Inpatients,A,2018-04-01,2.0,2.0,1.0
20-29,NHS Orkney,S08000025,Elective Inpatients,B,2018-07-01,1.0,1.0,1.0
70-79,NHS Lanarkshire,S08000023,All Daycases,A,2018-07-01,122.0,115.0,1.06
30-39,NHS Ayrshire & Arran,S08000015,All Daycases,B,2018-04-01,26.0,24.0,1.08
10-19,NHS Borders,S08000016,Elective Inpatients,B,2018-04-01,1.0,1.0,1.0
60-69,NHS Lothian,S08000024,All Daycases,B,2019-01-01,143.0,138.0,1.04
10-19,NHS Fife,S08000029,Elective Inpatients,A,2018-10-01,3.0,3.0,1.0
90+,NHS Tayside,S08000030,Elective Inpatients,A,2018-07-01,16.0,3.0,5.33
0-9,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,B,2018-10-01,7.0,7.0,1.0
10-19,NHS Highland,S08000022,All Daycases,B,2018-10-01,6.0,6.0,1.0
30-39,NHS Highland,S08000022,Elective Inpatients,B,2019-01-01,5.0,5.0,1.0
90+,NHS Lanarkshire,S08000023,Emergency Inpatients,A,2018-04-01,195.0,17.0,11.47
90+,NHS Borders,S08000016,All Daycases,B,2018-10-01,2.0,2.0,1.0
10-19,NHS Orkney,S08000025,Emergency Inpatients,B,2018-10-01,1.0,1.0,1.0
10-19,NHS Tayside,S08000030,Elective Inpatients,A,2018-10-01,3.0,3.0,1.0
30-39,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,A,2018-04-01,220.0,127.0,1.73
60-69,NHS Highland,S08000022,Elective Inpatients,A,2018-07-01,18.0,12.0,1.5
30-39,NHS Highland,S08000022,Emergency Inpatients,B,2018-04-01,29.0,17.0,1.71
70-79,NHS Dumfries & Galloway,S08000017,Emergency Inpatients,A,2018-07-01,138.0,34.0,4.06
70-79,NHS Lanarkshire,S08000023,Elective Inpatients,A,2018-04-01,61.0,37.0,1.65
70-79,NHS Ayrshire & Arran,S08000015,Emergency Inpatients,A,2018-10-01,426.0,88.0,4.84
40-49,NHS Ayrshire & Arran,S08000015,Elective Inpatients,A,2019-01-01,11.0,11.0,1.0
50-59,NHS Grampian,S08000020,Emergency Inpatients,A,2018-10-01,185.0,84.0,2.2
40-49,NHS Ayrshire & Arran,S08000015,Elective Inpatients,B,2018-04-01,12.0,11.0,1.09
20-29,NHS Fife,S08000029,All Daycases,A,2018-10-01,15.0,15.0,1.0
90+,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,A,2019-01-01,510.0,44.0,11.59
80-89,NHS Shetland,S08000026,All Daycases,B,2019-01-01,3.0,3.0,1.0
90+,NHS Lothian,S08000024,Emergency Inpatients,B,2018-04-01,278.0,22.0,12.64
90+,NHS Greater Glasgow & Clyde,S08000021,All Daycases,A,2019-01-01,38.0,37.0,1.03
70-79,NHS Forth Valley,S08000019,Elective Inpatients,A,2018-07-01,28.0,11.0,2.55
70-79,NHS Dumfries & Galloway,S08000017,All Daycases,A,2018-07-01,27.0,25.0,1.08
80-89,NHS Dumfries & Galloway,S08000017,All Daycases,B,2018-10-01,20.0,18.0,1.11
70-79,NHS Ayrshire & Arran,S08000015,Emergency Inpatients,B,2018-04-01,358.0,81.0,4.42
80-89,NHS Forth Valley,S08000019,Elective Inpatients,B,2018-07-01,30.0,6.0,5.0
80-89,NHS Forth Valley,S08000019,Elective Inpatients,B,2018-10-01,29.0,7.0,4.14
80-89,NHS Lothian,S08000024,Emergency Inpatients,A,2018-07-01,841.0,101.0,8.33
60-69,NHS Highland,S08000022,All Daycases,A,2018-10-01,40.0,39.0,1.03
60-69,NHS Dumfries & Galloway,S08000017,All Daycases,A,2019-01-01,25.0,24.0,1.04
10-19,NHS Grampian,S08000020,All Daycases,A,2018-04-01,11.0,10.0,1.1
80-89,NHS Tayside,S08000030,Elective Inpatients,A,2018-10-01,56.0,11.0,5.09
60-69,NHS Highland,S08000022,All Daycases,B,2018-10-01,39.0,39.0,1.0
70-79,NHS Orkney,S08000025,All Daycases,A,2018-10-01,5.0,5.0,1.0
50-59,NHS Dumfries & Galloway,S08000017,Elective Inpatients,A,2018-10-01,8.0,7.0,1.14
20-29,NHS Greater Glasgow & Clyde,S08000021,All Daycases,B,2018-04-01,94.0,88.0,1.07
60-69,NHS Tayside,S08000030,Emergency Inpatients,A,2019-01-01,233.0,66.0,3.53
90+,NHS Borders,S08000016,All Daycases,A,2018-04-01,3.0,3.0,1.0
20-29,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,B,2019-01-01,28.0,26.0,1.08
10-19,NHS Fife,S08000029,Elective Inpatients,B,2018-07-01,2.0,2.0,1.0
50-59,NHS Orkney,S08000025,Elective Inpatients,B,2018-04-01,1.0,1.0,1.0
50-59,NHS Grampian,S08000020,Emergency Inpatients,A,2019-01-01,182.0,81.0,2.25
50-59,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,B,2018-07-01,62.0,62.0,1.0
70-79,NHS Forth Valley,S08000019,Elective Inpatients,A,2018-04-01,28.0,11.0,2.55
10-19,NHS Ayrshire & Arran,S08000015,Elective Inpatients,A,2018-07-01,3.0,3.0,1.0
40-49,NHS Greater Glasgow & Clyde,S08000021,All Daycases,A,2019-01-01,146.0,133.0,1.1
70-79,NHS Forth Valley,S08000019,Emergency Inpatients,A,2019-01-01,266.0,42.0,6.33
70-79,NHS Highland,S08000022,Emergency Inpatients,B,2019-01-01,204.0,50.0,4.08
40-49,NHS Borders,S08000016,All Daycases,B,2018-07-01,8.0,8.0,1.0
20-29,NHS Fife,S08000029,All Daycases,B,2018-07-01,15.0,14.0,1.07
50-59,NHS Ayrshire & Arran,S08000015,All Daycases,B,2018-10-01,60.0,59.0,1.02
70-79,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,A,2018-07-01,176.0,99.0,1.78
90+,NHS Lanarkshire,S08000023,Emergency Inpatients,A,2018-10-01,182.0,17.0,10.71
30-39,NHS Lanarkshire,S08000023,Elective Inpatients,A,2018-04-01,12.0,12.0,1.0
30-39,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,B,2018-04-01,187.0,119.0,1.57
30-39,NHS Highland,S08000022,All Daycases,A,2018-04-01,18.0,17.0,1.06
20-29,NHS Dumfries & Galloway,S08000017,Emergency Inpatients,B,2018-04-01,12.0,10.0,1.2
50-59,NHS Dumfries & Galloway,S08000017,All Daycases,B,2018-07-01,20.0,20.0,1.0
30-39,NHS Orkney,S08000025,Elective Inpatients,A,2019-01-01,1.0,1.0,1.0
20-29,NHS Ayrshire & Arran,S08000015,All Daycases,B,2018-04-01,20.0,19.0,1.05
30-39,NHS Greater Glasgow & Clyde,S08000021,All Daycases,B,2019-01-01,114.0,111.0,1.03
20-29,NHS Shetland,S08000026,All Daycases,A,2018-07-01,2.0,2.0,1.0
70-79,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,A,2018-10-01,1483.0,395.0,3.75
80-89,NHS Grampian,S08000020,All Daycases,B,2018-07-01,51.0,47.0,1.09
10-19,NHS Fife,S08000029,Emergency Inpatients,B,2018-07-01,10.0,8.0,1.25
90+,NHS Grampian,S08000020,All Daycases,A,2018-07-01,12.0,11.0,1.09
20-29,NHS Forth Valley,S08000019,Elective Inpatients,B,2018-04-01,3.0,3.0,1.0
0-9,NHS Shetland,S08000026,All Daycases,A,2018-04-01,1.0,1.0,1.0
70-79,NHS Greater Glasgow & Clyde,S08000021,All Daycases,A,2018-10-01,340.0,335.0,1.01
10-19,NHS Orkney,S08000025,Elective Inpatients,B,2019-01-01,1.0,1.0,1.0
70-79,NHS Highland,S08000022,Elective Inpatients,B,2018-07-01,22.0,12.0,1.83
90+,NHS Lothian,S08000024,Emergency Inpatients,B,2018-10-01,251.0,20.0,12.55
70-79,NHS Highland,S08000022,All Daycases,A,2019-01-01,46.0,44.0,1.05
40-49,NHS Lothian,S08000024,Emergency Inpatients,A,2018-10-01,193.0,82.0,2.35
0-9,NHS Grampian,S08000020,Emergency Inpatients,B,2018-07-01,9.0,8.0,1.12
60-69,NHS Lothian,S08000024,All Daycases,A,2018-07-01,158.0,146.0,1.08
80-89,NHS Dumfries & Galloway,S08000017,Elective Inpatients,B,2018-07-01,19.0,5.0,3.8
20-29,NHS Highland,S08000022,All Daycases,B,2019-01-01,11.0,11.0,1.0
80-89,NHS Lanarkshire,S08000023,Emergency Inpatients,B,2018-10-01,469.0,92.0,5.1
40-49,NHS Ayrshire & Arran,S08000015,Emergency Inpatients,A,2018-04-01,97.0,44.0,2.2
80-89,NHS Greater Glasgow & Clyde,S08000021,All Daycases,B,2019-01-01,180.0,177.0,1.02
50-59,NHS Greater Glasgow & Clyde,S08000021,All Daycases,A,2018-07-01,245.0,225.0,1.09
80-89,NHS Fife,S08000029,Elective Inpatients,B,2018-04-01,28.0,10.0,2.8
90+,NHS Greater Glasgow & Clyde,S08000021,All Daycases,B,2018-10-01,43.0,40.0,1.08
50-59,NHS Borders,S08000016,All Daycases,B,2018-10-01,15.0,14.0,1.07
30-39,NHS Lanarkshire,S08000023,Emergency Inpatients,B,2018-10-01,57.0,46.0,1.24
80-89,NHS Highland,S08000022,Emergency Inpatients,A,2018-04-01,230.0,33.0,6.97
40-49,NHS Lanarkshire,S08000023,Elective Inpatients,B,2018-10-01,19.0,17.0,1.12
40-49,NHS Forth Valley,S08000019,All Daycases,A,2018-07-01,17.0,16.0,1.06
10-19,NHS Lothian,S08000024,All Daycases,B,2018-10-01,18.0,16.0,1.12
60-69,NHS Lanarkshire,S08000023,All Daycases,B,2019-01-01,109.0,102.0,1.07
10-19,NHS Orkney,S08000025,Emergency Inpatients,B,2018-07-01,1.0,1.0,1.0
20-29,NHS Grampian,S08000020,Elective Inpatients,A,2019-01-01,7.0,7.0,1.0
0-9,NHS Tayside,S08000030,Elective Inpatients,A,2018-10-01,2.0,2.0,1.0
80-89,NHS Shetland,S08000026,All Daycases,A,2019-01-01,3.0,3.0,1.0
80-89,NHS Ayrshire & Arran,S08000015,All Daycases,B,2018-04-01,47.0,47.0,1.0
60-69,NHS Greater Glasgow & Clyde,S08000021,All Daycases,A,2018-07-01,312.0,296.0,1.05
80-89,NHS Borders,S08000016,All Daycases,A,2018-07-01,12.0,11.0,1.09
0-9,NHS Shetland,S08000026,All Daycases,A,2018-10-01,1.0,1.0,1.0
40-49,NHS Lothian,S08000024,Emergency Inpatients,A,2019-01-01,201.0,79.0,2.54
90+,NHS Highland,S08000022,Elective Inpatients,B,2018-10-01,9.0,2.0,4.5
70-79,NHS Dumfries & Galloway,S08000017,Emergency Inpatients,B,2018-07-01,136.0,33.0,4.12
30-39,NHS Tayside,S08000030,All Daycases,A,2018-04-01,22.0,21.0,1.05
50-59,NHS Lothian,S08000024,Elective Inpatients,B,2018-04-01,34.0,31.0,1.1
30-39,NHS Orkney,S08000025,All Daycases,A,2019-01-01,2.0,2.0,1.0
90+,NHS Lothian,S08000024,All Daycases,A,2018-07-01,21.0,19.0,1.11
30-39,NHS Lanarkshire,S08000023,Emergency Inpatients,B,2019-01-01,65.0,49.0,1.33
40-49,NHS Dumfries & Galloway,S08000017,Emergency Inpatients,A,2018-07-01,32.0,15.0,2.13
60-69,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,A,2018-10-01,919.0,334.0,2.75
60-69,NHS Dumfries & Galloway,S08000017,All Daycases,A,2018-04-01,26.0,25.0,1.04
70-79,NHS Grampian,S08000020,Emergency Inpatients,A,2018-07-01,432.0,101.0,4.28
0-9,NHS Lothian,S08000024,Emergency Inpatients,B,2018-10-01,15.0,15.0,1.0
60-69,NHS Lothian,S08000024,Elective Inpatients,B,2018-07-01,55.0,35.0,1.57
10-19,NHS Lothian,S08000024,Elective Inpatients,A,2018-07-01,6.0,6.0,1.0
10-19,NHS Fife,S08000029,All Daycases,A,2018-04-01,8.0,8.0,1.0
10-19,NHS Orkney,S08000025,Emergency Inpatients,A,2018-07-01,1.0,1.0,1.0
20-29,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,B,2018-07-01,25.0,25.0,1.0
80-89,NHS Fife,S08000029,Emergency Inpatients,A,2018-10-01,275.0,45.0,6.11
20-29,NHS Highland,S08000022,Elective Inpatients,B,2018-04-01,4.0,4.0,1.0
40-49,NHS Forth Valley,S08000019,Elective Inpatients,A,2018-10-01,7.0,5.0,1.4
60-69,NHS Dumfries & Galloway,S08000017,Elective Inpatients,A,2018-10-01,11.0,8.0,1.38
30-39,NHS Lothian,S08000024,All Daycases,B,2018-04-01,44.0,44.0,1.0
50-59,NHS Shetland,S08000026,Elective Inpatients,B,2019-01-01,2.0,2.0,1.0
30-39,NHS Highland,S08000022,Emergency Inpatients,B,2018-10-01,29.0,19.0,1.53
80-89,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,A,2018-04-01,196.0,60.0,3.27
70-79,NHS Tayside,S08000030,All Daycases,B,2018-07-01,61.0,56.0,1.09
70-79,NHS Lothian,S08000024,All Daycases,A,2018-10-01,152.0,145.0,1.05
80-89,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,A,2019-01-01,193.0,58.0,3.33
90+,NHS Tayside,S08000030,Emergency Inpatients,A,2018-07-01,156.0,8.0,19.5
50-59,NHS Lanarkshire,S08000023,All Daycases,A,2019-01-01,102.0,93.0,1.1
60-69,NHS Tayside,S08000030,Emergency Inpatients,A,2018-10-01,256.0,70.0,3.66
30-39,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,A,2018-04-01,32.0,31.0,1.03
60-69,NHS Lothian,S08000024,Emergency Inpatients,B,2019-01-01,444.0,159.0,2.79
20-29,NHS Lanarkshire,S08000023,All Daycases,A,2018-10-01,31.0,30.0,1.03
60-69,NHS Orkney,S08000025,Emergency Inpatients,A,2018-07-01,10.0,6.0,1.67
90+,NHS Greater Glasgow & Clyde,S08000021,All Daycases,B,2018-04-01,41.0,40.0,1.02
90+,NHS Shetland,S08000026,Emergency Inpatients,B,2018-04-01,5.0,1.0,5.0
40-49,NHS Tayside,S08000030,Elective Inpatients,B,2019-01-01,10.0,9.0,1.11
90+,NHS Fife,S08000029,All Daycases,A,2018-10-01,7.0,7.0,1.0
30-39,NHS Dumfries & Galloway,S08000017,Emergency Inpatients,A,2019-01-01,21.0,13.0,1.62
60-69,NHS Greater Glasgow & Clyde,S08000021,All Daycases,B,2018-07-01,264.0,249.0,1.06
70-79,NHS Highland,S08000022,Emergency Inpatients,B,2018-04-01,183.0,47.0,3.89
0-9,NHS Highland,S08000022,Emergency Inpatients,B,2018-10-01,5.0,5.0,1.0
60-69,NHS Lanarkshire,S08000023,All Daycases,A,2018-04-01,127.0,118.0,1.08
90+,NHS Orkney,S08000025,All Daycases,B,2018-10-01,1.0,1.0,1.0
50-59,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,B,2018-04-01,521.0,277.0,1.88
40-49,NHS Lanarkshire,S08000023,Emergency Inpatients,A,2018-04-01,115.0,72.0,1.6
20-29,NHS Ayrshire & Arran,S08000015,All Daycases,B,2018-07-01,22.0,20.0,1.1
10-19,NHS Shetland,S08000026,Elective Inpatients,B,2018-10-01,1.0,1.0,1.0
30-39,NHS Borders,S08000016,All Daycases,B,2019-01-01,7.0,6.0,1.17
50-59,NHS Greater Glasgow & Clyde,S08000021,All Daycases,A,2018-10-01,240.0,237.0,1.01
40-49,NHS Tayside,S08000030,All Daycases,A,2018-10-01,28.0,27.0,1.04
30-39,NHS Lothian,S08000024,Elective Inpatients,B,2019-01-01,17.0,16.0,1.06
70-79,NHS Tayside,S08000030,All Daycases,A,2018-04-01,57.0,57.0,1.0
50-59,NHS Orkney,S08000025,Elective Inpatients,A,2019-01-01,1.0,1.0,1.0
50-59,NHS Ayrshire & Arran,S08000015,All Daycases,B,2019-01-01,60.0,55.0,1.09
90+,NHS Forth Valley,S08000019,Elective Inpatients,A,2019-01-01,11.0,2.0,5.5
80-89,NHS Highland,S08000022,All Daycases,B,2018-07-01,24.0,24.0,1.0
80-89,NHS Greater Glasgow & Clyde,S08000021,All Daycases,B,2018-04-01,204.0,192.0,1.06
80-89,NHS Tayside,S08000030,Emergency Inpatients,B,2019-01-01,399.0,45.0,8.87
10-19,NHS Tayside,S08000030,All Daycases,A,2019-01-01,8.0,8.0,1.0
40-49,NHS Greater Glasgow & Clyde,S08000021,All Daycases,A,2018-04-01,158.0,157.0,1.01
90+,NHS Borders,S08000016,Emergency Inpatients,B,2018-10-01,35.0,3.0,11.67
30-39,NHS Borders,S08000016,All Daycases,B,2018-10-01,8.0,7.0,1.14
90+,NHS Lothian,S08000024,All Daycases,A,2019-01-01,21.0,20.0,1.05
60-69,NHS Lanarkshire,S08000023,All Daycases,A,2019-01-01,110.0,108.0,1.02
30-39,NHS Lanarkshire,S08000023,Emergency Inpatients,B,2018-04-01,57.0,53.0,1.08
80-89,NHS Orkney,S08000025,Elective Inpatients,A,2018-07-01,3.0,1.0,3.0
20-29,NHS Orkney,S08000025,Emergency Inpatients,A,2018-07-01,2.0,2.0,1.0
0-9,NHS Shetland,S08000026,Emergency Inpatients,A,2019-01-01,1.0,1.0,1.0
20-29,NHS Dumfries & Galloway,S08000017,Elective Inpatients,A,2019-01-01,2.0,2.0,1.0
80-89,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,A,2018-10-01,1693.0,257.0,6.59
50-59,NHS Highland,S08000022,All Daycases,B,2018-10-01,37.0,35.0,1.06
70-79,NHS Tayside,S08000030,All Daycases,A,2019-01-01,53.0,53.0,1.0
80-89,NHS Orkney,S08000025,Emergency Inpatients,A,2018-07-01,16.0,4.0,4.0
50-59,NHS Shetland,S08000026,Elective Inpatients,B,2018-10-01,1.0,1.0,1.0
80-89,NHS Dumfries & Galloway,S08000017,All Daycases,B,2018-07-01,15.0,15.0,1.0
0-9,NHS Fife,S08000029,Emergency Inpatients,A,2018-07-01,6.0,6.0,1.0
40-49,NHS Lanarkshire,S08000023,All Daycases,A,2018-07-01,51.0,51.0,1.0
90+,NHS Borders,S08000016,All Daycases,B,2018-04-01,2.0,2.0,1.0
80-89,NHS Dumfries & Galloway,S08000017,Emergency Inpatients,A,2018-10-01,155.0,19.0,8.16
80-89,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,A,2018-07-01,1556.0,218.0,7.14
60-69,NHS Dumfries & Galloway,S08000017,Elective Inpatients,A,2019-01-01,12.0,9.0,1.33
0-9,NHS Lanarkshire,S08000023,All Daycases,B,2018-04-01,11.0,10.0,1.1
20-29,NHS Highland,S08000022,Emergency Inpatients,A,2018-07-01,23.0,14.0,1.64
50-59,NHS Lothian,S08000024,Elective Inpatients,A,2018-10-01,42.0,35.0,1.2
10-19,NHS Highland,S08000022,Elective Inpatients,A,2018-04-01,2.0,2.0,1.0
70-79,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,B,2018-04-01,131.0,86.0,1.52
30-39,NHS Tayside,S08000030,Elective Inpatients,B,2019-01-01,6.0,6.0,1.0
20-29,NHS Lothian,S08000024,All Daycases,A,2018-10-01,47.0,43.0,1.09
80-89,NHS Dumfries & Galloway,S08000017,Elective Inpatients,A,2018-10-01,20.0,6.0,3.33
50-59,NHS Highland,S08000022,All Daycases,A,2019-01-01,32.0,31.0,1.03
50-59,NHS Fife,S08000029,Elective Inpatients,A,2018-04-01,14.0,13.0,1.08
10-19,NHS Lothian,S08000024,Elective Inpatients,B,2018-07-01,7.0,6.0,1.17
20-29,NHS Tayside,S08000030,Emergency Inpatients,A,2019-01-01,42.0,19.0,2.21
0-9,NHS Tayside,S08000030,Elective Inpatients,A,2018-04-01,2.0,2.0,1.0
60-69,NHS Borders,S08000016,Emergency Inpatients,B,2018-10-01,51.0,19.0,2.68
10-19,NHS Borders,S08000016,Elective Inpatients,B,2018-07-01,1.0,1.0,1.0
60-69,NHS Highland,S08000022,Emergency Inpatients,B,2019-01-01,139.0,48.0,2.9
60-69,NHS Greater Glasgow & Clyde,S08000021,All Daycases,A,2018-10-01,317.0,309.0,1.03
80-89,NHS Grampian,S08000020,Emergency Inpatients,A,2018-04-01,489.0,62.0,7.89
80-89,NHS Forth Valley,S08000019,All Daycases,B,2019-01-01,21.0,19.0,1.11
80-89,NHS Orkney,S08000025,Elective Inpatients,A,2018-04-01,3.0,1.0,3.0
80-89,NHS Fife,S08000029,Elective Inpatients,A,2019-01-01,35.0,11.0,3.18
90+,NHS Grampian,S08000020,All Daycases,A,2018-10-01,11.0,11.0,1.0
40-49,NHS Orkney,S08000025,Emergency Inpatients,A,2018-07-01,4.0,3.0,1.33
50-59,NHS Grampian,S08000020,Elective Inpatients,A,2018-10-01,22.0,19.0,1.16
50-59,NHS Fife,S08000029,Emergency Inpatients,A,2018-10-01,103.0,49.0,2.1
50-59,NHS Lothian,S08000024,All Daycases,B,2018-07-01,106.0,104.0,1.02
50-59,NHS Forth Valley,S08000019,Elective Inpatients,A,2018-04-01,13.0,8.0,1.62
30-39,NHS Fife,S08000029,All Daycases,B,2018-07-01,18.0,17.0,1.06
0-9,NHS Forth Valley,S08000019,Elective Inpatients,A,2018-04-01,1.0,1.0,1.0
10-19,NHS Fife,S08000029,All Daycases,A,2018-10-01,9.0,8.0,1.12
50-59,NHS Highland,S08000022,Emergency Inpatients,A,2018-10-01,106.0,46.0,2.3
50-59,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,A,2018-07-01,635.0,302.0,2.1
80-89,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,B,2019-01-01,1305.0,234.0,5.58
40-49,NHS Lanarkshire,S08000023,All Daycases,A,2018-10-01,62.0,57.0,1.09
40-49,NHS Lothian,S08000024,Elective Inpatients,A,2018-10-01,23.0,21.0,1.1
10-19,NHS Tayside,S08000030,Elective Inpatients,A,2018-07-01,3.0,3.0,1.0
90+,NHS Lanarkshire,S08000023,All Daycases,A,2018-10-01,15.0,14.0,1.07
80-89,NHS Lanarkshire,S08000023,Emergency Inpatients,A,2018-04-01,549.0,97.0,5.66
20-29,NHS Forth Valley,S08000019,Elective Inpatients,B,2018-07-01,3.0,3.0,1.0
50-59,NHS Lanarkshire,S08000023,Elective Inpatients,A,2018-04-01,30.0,30.0,1.0
30-39,NHS Lanarkshire,S08000023,Emergency Inpatients,A,2018-10-01,67.0,54.0,1.24
30-39,NHS Orkney,S08000025,Elective Inpatients,A,2018-10-01,1.0,1.0,1.0
70-79,NHS Dumfries & Galloway,S08000017,All Daycases,A,2018-10-01,26.0,26.0,1.0
60-69,NHS Greater Glasgow & Clyde,S08000021,All Daycases,A,2019-01-01,310.0,288.0,1.08
0-9,NHS Lanarkshire,S08000023,All Daycases,A,2018-04-01,10.0,10.0,1.0
