HB2014Name,GPPracticeName,HB2014,BNFItemDescription,BNFItemCode,PaidDateMonth,NumberOfPaidItems
NHS Highland,DUNBEATH SURGERY,S08000022,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,11
NHS Highland,DUNBEATH SURGERY,S08000022,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,11
NHS Borders,KELSO MEDICAL GROUP,S08000016,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,18
NHS Borders,KELSO MEDICAL GROUP,S08000016,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Borders,KELSO MEDICAL GROUP,S08000016,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,16
NHS Borders,KELSO MEDICAL GROUP,S08000016,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Borders,KELSO MEDICAL GROUP,S08000016,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,18
NHS Shetland,LERWICK HEALTH CENTRE,S08000026,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,27
NHS Shetland,LERWICK HEALTH CENTRE,S08000026,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,28
NHS Shetland,LERWICK HEALTH CENTRE,S08000026,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,30
NHS Shetland,LERWICK HEALTH CENTRE,S08000026,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,33
NHS Shetland,LERWICK HEALTH CENTRE,S08000026,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,27
NHS Orkney,ISLANDS VIEW SURGERY,S08000025,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-04-01,7
NHS Orkney,ISLANDS VIEW SURGERY,S08000025,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-05-01,6
NHS Orkney,ISLANDS VIEW SURGERY,S08000025,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-06-01,7
NHS Orkney,ISLANDS VIEW SURGERY,S08000025,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-07-01,7
NHS Orkney,ISLANDS VIEW SURGERY,S08000025,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-08-01,8
NHS Highland,RIVERBANK SURGERY,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,29
NHS Highland,RIVERBANK SURGERY,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,30
NHS Highland,RIVERBANK SURGERY,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,30
NHS Highland,RIVERBANK SURGERY,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,33
NHS Highland,RIVERBANK SURGERY,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,33
NHS Grampian,WHINHILL MEDICAL PRACTICE,S08000020,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,8
NHS Grampian,WHINHILL MEDICAL PRACTICE,S08000020,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,7
NHS Grampian,WHINHILL MEDICAL PRACTICE,S08000020,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,8
NHS Grampian,WHINHILL MEDICAL PRACTICE,S08000020,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,7
NHS Grampian,WHINHILL MEDICAL PRACTICE,S08000020,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,7
NHS Ayrshire and Arran,SOUTH BEACH MEDICAL CENTRE,S08000015,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,6
NHS Ayrshire and Arran,SOUTH BEACH MEDICAL CENTRE,S08000015,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,7
NHS Ayrshire and Arran,SOUTH BEACH MEDICAL CENTRE,S08000015,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,7
NHS Ayrshire and Arran,SOUTH BEACH MEDICAL CENTRE,S08000015,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,8
NHS Ayrshire and Arran,SOUTH BEACH MEDICAL CENTRE,S08000015,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,7
NHS Lothian,SOUTHFIELD MEDICAL PRACTICE,S08000024,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,29
NHS Lothian,SOUTHFIELD MEDICAL PRACTICE,S08000024,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,32
NHS Lothian,SOUTHFIELD MEDICAL PRACTICE,S08000024,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,28
NHS Lothian,SOUTHFIELD MEDICAL PRACTICE,S08000024,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,29
NHS Lothian,SOUTHFIELD MEDICAL PRACTICE,S08000024,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,27
NHS Grampian,WHINHILL MEDICAL PRACTICE,S08000020,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,28
NHS Grampian,WHINHILL MEDICAL PRACTICE,S08000020,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,32
NHS Grampian,WHINHILL MEDICAL PRACTICE,S08000020,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,30
NHS Grampian,WHINHILL MEDICAL PRACTICE,S08000020,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,29
NHS Grampian,WHINHILL MEDICAL PRACTICE,S08000020,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,29
NHS Lothian,BRAIDS MEDICAL PRACTICE,S08000024,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,6
NHS Lothian,BRAIDS MEDICAL PRACTICE,S08000024,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,6
NHS Lothian,BRAIDS MEDICAL PRACTICE,S08000024,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,6
NHS Lothian,BRAIDS MEDICAL PRACTICE,S08000024,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,7
NHS Lothian,BRAIDS MEDICAL PRACTICE,S08000024,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,7
NHS Shetland,BIXTER HEALTH CENTRE,S08000026,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,13
NHS Shetland,BIXTER HEALTH CENTRE,S08000026,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,13
NHS Shetland,BIXTER HEALTH CENTRE,S08000026,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,13
NHS Shetland,BIXTER HEALTH CENTRE,S08000026,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,11
NHS Shetland,BIXTER HEALTH CENTRE,S08000026,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,11
NHS Western Isles,THE GROUP PRACTICE,S08000028,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,6
NHS Western Isles,THE GROUP PRACTICE,S08000028,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,7
NHS Western Isles,THE GROUP PRACTICE,S08000028,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,7
NHS Western Isles,THE GROUP PRACTICE,S08000028,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,8
NHS Western Isles,THE GROUP PRACTICE,S08000028,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,6
NHS Shetland,LEVENWICK MEDICAL PRACTICE,S08000026,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,28
NHS Shetland,LEVENWICK MEDICAL PRACTICE,S08000026,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,31
NHS Shetland,LEVENWICK MEDICAL PRACTICE,S08000026,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,28
NHS Shetland,LEVENWICK MEDICAL PRACTICE,S08000026,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,31
NHS Shetland,LEVENWICK MEDICAL PRACTICE,S08000026,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,28
NHS Ayrshire and Arran,DALBLAIR MEDICAL PRACTICE,S08000015,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Ayrshire and Arran,DALBLAIR MEDICAL PRACTICE,S08000015,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Ayrshire and Arran,DALBLAIR MEDICAL PRACTICE,S08000015,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Ayrshire and Arran,DALBLAIR MEDICAL PRACTICE,S08000015,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,18
NHS Ayrshire and Arran,DALBLAIR MEDICAL PRACTICE,S08000015,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,16
NHS Forth Valley,FORTHVIEW PRACTICE,S08000019,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,12
NHS Forth Valley,FORTHVIEW PRACTICE,S08000019,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,12
NHS Forth Valley,FORTHVIEW PRACTICE,S08000019,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,11
NHS Forth Valley,FORTHVIEW PRACTICE,S08000019,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,12
NHS Forth Valley,FORTHVIEW PRACTICE,S08000019,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,12
NHS Lothian,BRAIDS MEDICAL PRACTICE,S08000024,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,16
NHS Lothian,BRAIDS MEDICAL PRACTICE,S08000024,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,18
NHS Lothian,BRAIDS MEDICAL PRACTICE,S08000024,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,18
NHS Lothian,BRAIDS MEDICAL PRACTICE,S08000024,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Lothian,BRAIDS MEDICAL PRACTICE,S08000024,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,18
NHS Dumfries and Galloway,CASTLE DOUGLAS MEDICAL GROUP,S08000017,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,18
NHS Dumfries and Galloway,CASTLE DOUGLAS MEDICAL GROUP,S08000017,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Dumfries and Galloway,CASTLE DOUGLAS MEDICAL GROUP,S08000017,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Dumfries and Galloway,CASTLE DOUGLAS MEDICAL GROUP,S08000017,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,18
NHS Dumfries and Galloway,CASTLE DOUGLAS MEDICAL GROUP,S08000017,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,17
NHS Greater Glasgow and Clyde,RED WING MEDICAL PRACTICE,S08000031,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,12
NHS Greater Glasgow and Clyde,RED WING MEDICAL PRACTICE,S08000031,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,13
NHS Greater Glasgow and Clyde,RED WING MEDICAL PRACTICE,S08000031,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,11
NHS Greater Glasgow and Clyde,RED WING MEDICAL PRACTICE,S08000031,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,13
NHS Greater Glasgow and Clyde,RED WING MEDICAL PRACTICE,S08000031,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,13
NHS Ayrshire and Arran,THE FULLARTON MEDICAL PRACTICE,S08000015,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,18
NHS Ayrshire and Arran,THE FULLARTON MEDICAL PRACTICE,S08000015,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Ayrshire and Arran,THE FULLARTON MEDICAL PRACTICE,S08000015,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,18
NHS Ayrshire and Arran,THE FULLARTON MEDICAL PRACTICE,S08000015,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Ayrshire and Arran,THE FULLARTON MEDICAL PRACTICE,S08000015,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,16
NHS Dumfries and Galloway,LOCH REE PRACTICE,S08000017,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,13
NHS Dumfries and Galloway,LOCH REE PRACTICE,S08000017,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,11
NHS Dumfries and Galloway,LOCH REE PRACTICE,S08000017,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,13
NHS Dumfries and Galloway,LOCH REE PRACTICE,S08000017,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,12
NHS Dumfries and Galloway,LOCH REE PRACTICE,S08000017,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,11
NHS Ayrshire and Arran,BALLANTRAE MEDICAL PRACTICE,S08000015,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,13
NHS Ayrshire and Arran,BALLANTRAE MEDICAL PRACTICE,S08000015,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,11
NHS Ayrshire and Arran,BALLANTRAE MEDICAL PRACTICE,S08000015,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,12
NHS Ayrshire and Arran,BALLANTRAE MEDICAL PRACTICE,S08000015,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,12
NHS Ayrshire and Arran,BALLANTRAE MEDICAL PRACTICE,S08000015,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,13
NHS Orkney,DOUNBY SURGERY,S08000025,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,18
NHS Orkney,DOUNBY SURGERY,S08000025,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,16
NHS Orkney,DOUNBY SURGERY,S08000025,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Orkney,DOUNBY SURGERY,S08000025,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Orkney,DOUNBY SURGERY,S08000025,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,18
NHS Dumfries and Galloway,SOLWAY MEDICAL GROUP,S08000017,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,12
NHS Dumfries and Galloway,SOLWAY MEDICAL GROUP,S08000017,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,12
NHS Dumfries and Galloway,SOLWAY MEDICAL GROUP,S08000017,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,12
NHS Dumfries and Galloway,SOLWAY MEDICAL GROUP,S08000017,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,11
NHS Dumfries and Galloway,SOLWAY MEDICAL GROUP,S08000017,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,11
NHS Forth Valley,CALLANDER MEDICAL PRACTICE,S08000019,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,30
NHS Forth Valley,CALLANDER MEDICAL PRACTICE,S08000019,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,31
NHS Forth Valley,CALLANDER MEDICAL PRACTICE,S08000019,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,30
NHS Forth Valley,CALLANDER MEDICAL PRACTICE,S08000019,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,30
NHS Forth Valley,CALLANDER MEDICAL PRACTICE,S08000019,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,28
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",S08000030,365 FILM 4CM X 5CM VP ADH FILM DRESS,20030100662,2019-04-01,2
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",S08000030,365 FILM 4CM X 5CM VP ADH FILM DRESS,20030100662,2019-05-01,2
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",S08000030,365 FILM 4CM X 5CM VP ADH FILM DRESS,20030100662,2019-06-01,2
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",S08000030,365 FILM 4CM X 5CM VP ADH FILM DRESS,20030100662,2019-07-01,0
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",S08000030,365 FILM 4CM X 5CM VP ADH FILM DRESS,20030100662,2019-08-01,1
NHS Lothian,LADYWELL MEDICAL CENTRE (WEST),S08000024,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,31
NHS Lothian,LADYWELL MEDICAL CENTRE (WEST),S08000024,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,31
NHS Lothian,LADYWELL MEDICAL CENTRE (WEST),S08000024,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,29
NHS Lothian,LADYWELL MEDICAL CENTRE (WEST),S08000024,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,33
NHS Lothian,LADYWELL MEDICAL CENTRE (WEST),S08000024,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,32
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,S08000015,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,31
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,S08000015,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,28
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,S08000015,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,27
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,S08000015,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,28
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,S08000015,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,27
NHS Dumfries and Galloway,GLENKENS MEDICAL PRACTICE,S08000017,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,12
NHS Dumfries and Galloway,GLENKENS MEDICAL PRACTICE,S08000017,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,11
NHS Dumfries and Galloway,GLENKENS MEDICAL PRACTICE,S08000017,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,11
NHS Dumfries and Galloway,GLENKENS MEDICAL PRACTICE,S08000017,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,13
NHS Dumfries and Galloway,GLENKENS MEDICAL PRACTICE,S08000017,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,11
NHS Lanarkshire,STEPPS SURGERY,S08000032,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,33
NHS Lanarkshire,STEPPS SURGERY,S08000032,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,30
NHS Lanarkshire,STEPPS SURGERY,S08000032,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,28
NHS Lanarkshire,STEPPS SURGERY,S08000032,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,30
NHS Lanarkshire,STEPPS SURGERY,S08000032,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,33
NHS Highland,DUNBEATH SURGERY,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,27
NHS Highland,DUNBEATH SURGERY,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,33
NHS Highland,DUNBEATH SURGERY,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,30
NHS Highland,DUNBEATH SURGERY,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,30
NHS Highland,DUNBEATH SURGERY,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,33
NHS Dumfries and Galloway,LOCH REE PRACTICE,S08000017,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Dumfries and Galloway,LOCH REE PRACTICE,S08000017,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,18
NHS Dumfries and Galloway,LOCH REE PRACTICE,S08000017,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Dumfries and Galloway,LOCH REE PRACTICE,S08000017,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Dumfries and Galloway,LOCH REE PRACTICE,S08000017,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,18
NHS Tayside,ALYTH HEALTH CENTRE,S08000030,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,11
NHS Tayside,ALYTH HEALTH CENTRE,S08000030,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,12
NHS Tayside,ALYTH HEALTH CENTRE,S08000030,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,13
NHS Tayside,ALYTH HEALTH CENTRE,S08000030,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,12
NHS Tayside,ALYTH HEALTH CENTRE,S08000030,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,13
NHS Highland,DUNBEATH SURGERY,S08000022,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,18
NHS Highland,DUNBEATH SURGERY,S08000022,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,16
NHS Highland,DUNBEATH SURGERY,S08000022,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,18
NHS Highland,DUNBEATH SURGERY,S08000022,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Highland,DUNBEATH SURGERY,S08000022,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,17
NHS Greater Glasgow and Clyde,BUCKINGHAM TERRACE MEDICAL PRACTICE,S08000031,SOD CHLOR_(S),190400000AAPFPF,2019-04-01,0
NHS Greater Glasgow and Clyde,BUCKINGHAM TERRACE MEDICAL PRACTICE,S08000031,SOD CHLOR_(S),190400000AAPFPF,2019-05-01,1
NHS Greater Glasgow and Clyde,BUCKINGHAM TERRACE MEDICAL PRACTICE,S08000031,SOD CHLOR_(S),190400000AAPFPF,2019-06-01,0
NHS Greater Glasgow and Clyde,BUCKINGHAM TERRACE MEDICAL PRACTICE,S08000031,SOD CHLOR_(S),190400000AAPFPF,2019-07-01,2
NHS Greater Glasgow and Clyde,BUCKINGHAM TERRACE MEDICAL PRACTICE,S08000031,SOD CHLOR_(S),190400000AAPFPF,2019-08-01,2
NHS Highland,THE PEARSON PRACTICE,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,29
NHS Highland,THE PEARSON PRACTICE,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,27
NHS Highland,THE PEARSON PRACTICE,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,32
NHS Highland,THE PEARSON PRACTICE,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,28
NHS Highland,THE PEARSON PRACTICE,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,29
NHS Lothian,NIDDRIE MEDICAL PRACTICE,S08000024,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Lothian,NIDDRIE MEDICAL PRACTICE,S08000024,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,16
NHS Lothian,NIDDRIE MEDICAL PRACTICE,S08000024,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,16
NHS Lothian,NIDDRIE MEDICAL PRACTICE,S08000024,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,16
NHS Lothian,NIDDRIE MEDICAL PRACTICE,S08000024,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,16
NHS Fife,WALLSGREEN MEDICAL PRACTICE,S08000029,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,7
NHS Fife,WALLSGREEN MEDICAL PRACTICE,S08000029,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,6
NHS Fife,WALLSGREEN MEDICAL PRACTICE,S08000029,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,7
NHS Fife,WALLSGREEN MEDICAL PRACTICE,S08000029,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,8
NHS Fife,WALLSGREEN MEDICAL PRACTICE,S08000029,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,7
NHS Grampian,TORRY MEDICAL PRACTICE,S08000020,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,6
NHS Grampian,TORRY MEDICAL PRACTICE,S08000020,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,7
NHS Grampian,TORRY MEDICAL PRACTICE,S08000020,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,8
NHS Grampian,TORRY MEDICAL PRACTICE,S08000020,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,8
NHS Grampian,TORRY MEDICAL PRACTICE,S08000020,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,8
NHS Dumfries and Galloway,MULL OF GALLOWAY PRACTICE,S08000017,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Dumfries and Galloway,MULL OF GALLOWAY PRACTICE,S08000017,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,16
NHS Dumfries and Galloway,MULL OF GALLOWAY PRACTICE,S08000017,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,16
NHS Dumfries and Galloway,MULL OF GALLOWAY PRACTICE,S08000017,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Dumfries and Galloway,MULL OF GALLOWAY PRACTICE,S08000017,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,16
